"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2";"Pin_Header_Straight_1x05_Pitch1.27mm";1;"Conn_01x05_Male";;;
2;"D1";"I2C_SSD1306_LCD";1;"I2C_SSD1306_LCD";;;
3;"D2";"LED4-2.0-D8.0MM";1;"DIP-LED-RGB-COMMON-ANODE_4P-D8MM_";;;
4;"C1";"ELECTRO-SMD-C-12.5x13.5MM";1;"CP";;;
5;"HEATER1,HEATER2,NTC_AIR1,NTC_WELL1";"Pin_Header_Straight_1x02_Pitch2.54mm";4;"Conn_01x02_Female";;;
6;"J1";"BarrelJack_Horizontal";1;"Barrel_Jack_Switch";;;
7;"FAN1";"Molex_KK-6410-03_03x2.54mm_Straight";1;"Fan_3pin";;;
8;"Q1,Q2";"SOT95P240X112-3N";2;"BSP89";;;
9;"R1,R2,R3,R4,R6,R7,R12";"R_0603_HandSoldering";7;"47K";;;
10;"R5,R10";"R_0603_HandSoldering";2;"1K";;;
11;"R8,R11";"R_0603_HandSoldering";2;"15";;;
12;"R9";"R_0603_HandSoldering";1;"75";;;
13;"U1";"SeeeduinoXIAO-MOUDLE14P-2.54-21X17.8MM";1;"SeeeduinoXIAO";;;
14;"EXTRA_Q1";"TO-220-3_Vertical";1;"BSP89";;;
15;"SW1";"SW_TH_Tactile_Omron_B3F-10xx";1;"TACTILE_4";;;
16;"TH1";"R_0603_HandSoldering";1;"Thermistor";;;
17;"SW2";"SW2-5.0-6.0X3.0X4.3MM";1;"DIP-BUTTON_2P-6.0X3.0X4.3MM_";;;
